epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro
Humeda,2022,Humeda 2022,E02,SC-22-0419,30.8,34.6,21.4,2.529497797183594,2.5166066406352696,,0.08809833916229609,0.08764936091726538,0.035034494413932304,0.03482839133538167,0.036108524959303626,0.3733308085867121,0.05693549442209157,0.285232469424416,0.02210710308670991,2.529497797183594,2.4273869125380014
Humeda,2022,Humeda 2022,E03,SC-22-0423,30.9,34.3,25.4,2.589077052105083,2.5823560288487775,,0.1283851564474232,0.12805187952870578,0.04893842824747273,0.04958722890963711,0.05210740339650181,0.9259772221435859,0.11245142786074046,0.7975920656961627,0.06286419895110334,2.589077052105083,2.457460383399232
Humeda,2022,Humeda 2022,E04,SC-22-0427,30.3,7.8,92.2,1.8992241507993286,1.8431740082585757,,0.6839035684955491,0.6637201201742059,0.36509848657983623,0.36009628890182016,0.35181963636821534,1.0830298277722104,0.3950479932368546,0.39912625927666123,0.03495170433503443,1.8992241507993286,1.88653517758615
Humeda,2022,Humeda 2022,E06,SC-22-0428,31.8,13.8,31.2,2.165077114165598,2.117358985857892,,0.5183721210057304,0.506947240469398,0.241320704800016,0.23942432240133232,0.23724377831408971,1.6427811365848333,0.33493977759690663,1.1244090155791029,0.09551545519557429,2.165077114165598,2.1368199582382505
Humeda,2022,Humeda 2022,E07,SC-22-0429,31.4,14.9,38.6,2.6151525433478837,2.5276410549629635,,0.30866956691372627,0.2983404817945965,0.12052661807016893,0.11803119007297813,0.11633387644071644,1.9852458363929748,0.2568298091110031,1.6765762694792485,0.13879861903802498,2.6151525433478837,2.5645193895574376
Humeda,2022,Humeda 2022,E05,SC-22-0431,30.9,25.3,27.4,2.4182099601841442,2.416652878259613,,0.22650377638329244,0.2263579309265904,0.09448712020936967,0.0936658851434242,0.0928931681253472,0.9793388410077118,0.15716011723642742,0.7528350646244194,0.06349423209300323,2.4182099601841442,2.4367554201741717
Humeda,2022,Humeda 2022,E08,SC-22-0434,31.4,22.6,28.0,1.9590700609157639,1.9194454885313708,,0.8502153063811153,0.8330186687405658,0.44531232500545276,0.4339892295550082,0.4286801884831355,1.9108655258569591,0.5223309322971867,1.0606502194758438,0.08834170274217855,1.9590700609157639,1.943217090783138
Humeda,2022,Humeda 2022,E09,SC-22-0437,31.1,17.1,28.9,2.1679011567685014,2.118729969045261,,0.4919182437349796,0.48076081424071493,0.23435638419184773,0.22690990417120246,0.23215337771615352,1.5389398671271592,0.3141882522429213,1.0470216233921796,0.08727834807171883,2.1679011567685014,2.070875810510609
Humeda,2022,Humeda 2022,E14,SC-22-0441,31.1,16.7,26.3,1.848421821087586,1.773537886688494,,0.634551394607871,0.6088442186458878,0.34835095644275677,0.3432936072105607,0.3362714519004232,1.5325301652068362,0.41966482696641816,0.8979787705989651,0.07637121975585748,1.848421821087586,1.810573616062356
Humeda,2022,Humeda 2022,E21,SC-22-0444,31.0,16.0,24.4,4.039762178559133,5.474627824913171,,0.05712312352346505,0.07741243857059299,0.01505545111778242,0.014140219398716986,0.019292883829085478,2.4983384445428767,0.23402959957758152,2.4412153210194116,0.21988938017886453,4.039762178559133,4.012486637891215
Humeda,2022,Humeda 2022,E43,SC-22-0453,30.1,27.6,1.13,2.8182626530977624,2.7774339070224703,,0.08612826421966718,0.08488050648286959,0.030138729277728364,0.030560765557105612,0.03067343134868072,0.17918735212457534,0.03719516511256068,0.09305908790490816,0.006634399555455066,2.8182626530977624,2.767232185991488
Humeda,2022,Humeda 2022,E40,SC-22-0454,30.3,28.5,0.88,2.301200014125028,2.213209246482896,,0.06548958983199892,0.06298547056965093,0.028953322513163703,0.028458886420135734,0.028444984720631873,0.14594769977840677,0.03468529540011083,0.08045810994640785,0.006226408979975098,2.301200014125028,2.2142908912855193
Humeda,2022,Humeda 2022,E36,SC-22-0455,30.2,29.0,0.5,2.6105388723772163,2.5749763942516495,,0.037125528174595565,0.03661977980303161,0.014030454423338376,0.01422140408152138,0.015284291213294802,0.08800324399505452,0.018403839568106768,0.050877715820458955,0.004182435486585388,2.6105388723772163,2.395909584029547
Humeda,2022,Humeda 2022,E34,SC-22-0456,30.4,14.9,5.3,1.9828374935237376,1.9158657113640514,,0.2145712326534886,0.20732393281276024,0.1088725253461349,0.10821423003867556,0.1062096348953142,0.4770787294574621,0.12710774957648824,0.2625074968039735,0.018893519537812684,1.9828374935237376,1.952025661486452
